Account,Token Account,Quantity,Percentage
6i4buKeJJU7wRPSEp3qBfYcaP8sGMriTA1QYzNcA5oaX,CMGrf2VsiLHLSZaLyy9vDPi6R9a32HJJhCxRnEcTy1sb,3766345.85,0.38
YyA5stFSBJnhULx7FmeUAKxDdFLAss4UZpz8ndRcbFE,47t2d5zgU6pyFyXWCosHiE2e55YjCKrHFZMAhwXwUCuy,3612833.93,0.36
DRvVWy7zhZ6DGqRvzjYdPPoeL2cKYtu1MvXyh6trPzjk,8HLJnwZQE9CqhWx9WY5RquZLXmYMwdPEGbSLRM7ahfSJ,3527415.51,0.35
8bBr343f8GMdHkZhrbXdroKtabexT42ptRpYnsh4xA5p,CjzxqPwNDDN34njkWfXzT2VTDXHN2WgpUrpuVfZqVxEq,3310211.79,0.33
7LUjxdypCuFxAqVdRJs9AZtFAvmDkUVQsAk6ZM3mVNGZ,HsVSoftjpAcNoWPVUWntELVi6WJ96WpSnWGYvmm76bzH,3241598.26,0.32
AvHjgv1XaV2s65GRg8GbZPEoqoYJJXy3V8oFc8YjQoeL,HpwMDPq1R3GyAtsCrhy81d9B3m78osJyY8AwsG5kfrGs,2955328.06,0.30
9A5QuYGYuDe3sGwJ1R7BNzJAzfgYpc8njSPRmKGPRaXJ,CfQheRMedoZ4Afv9B4LfMx7P1cnotuhgaJNFDkwj8z8T,2949278.14,0.29
AV9k4n1nywDHa58cZ1jDQtetEY2aDKjMRby4hmn3dJw,83A48do41dJL3F35hNBsR5jaHdtwFzWcvhjQzq9kuiwt,2939648.81,0.29
9bgkoMqRaBkAtTEdkUrzjH74m7VtJUF3mSyCRm7cj3S8,HzHQ25q11TWbWXM3zW8FbKRHfviAbcke57uYyw5kimVC,2688827.54,0.27
9zyXFzkHny5ZipR66k1KA9c4iySGsPAikJEsUqphNujr,HVmJgNRkR5YCZnJbtrsc8THR5A9UxqYdrwXUwxftzCiK,2677259.43,0.27
EocWimVr8Fjtkmx5qJ2WkFHyo4NxWoVjtdosTCQDnrCg,22jRzHCwCbaiGgxLm5Ar6AanotzLDeoyD5tiVJxnpCFa,2670135.77,0.27
ApvvSHf7GSdE5FwSYf3aC92JnvmfWvvoR8DK2ojMgEZh,FM4Z8kCfHMxxJw4n9zrDNvCS6o5errKxFER4qfKQvuno,2659392.22,0.27
BfqHS3Qy8TUfUqYBUYckLC651SWRu3GLCcP98zayhku3,3UDmzv26oi3E1TWh3sUK4MQGjnU3nj9cQ9YiNQouitrz,2601199.07,0.26
BSc6MsbrdLniAgKNPuRr59vaiYeQ3Qnn3DVw5YQ8kxze,6yo1pa3ZtddTZVyZWevD9pfj9c58TZ6eHPbtdZfcXMEz,2562207.84,0.26
JBDFdbRagDXUhpJzM5jzJ9yaJtmBZpqDt4j3i3JP3XtG,9UrC19ZsZHhzycKXkR6gLgs9TKWxdCTUEQMamLhgZj1M,2492121.91,0.25
EFLrAAuhSmkyzVAtTjSLAFLygYGSjFpf1JCZuf3h82v9,54aFu1nfnEhEajsC4kjwcesGgZttAE2XEnbQD1CFLP9C,2485983.26,0.25
D6nUhQ7o3TQwk243mgVS5hsdkuJk71fxZib3KxY4Upyv,3neyWpp9kAa8zP1N4dFhFK15z8WSph6LCNXuuRMaUws6,2373500.11,0.24
5tfavEkbC36VeB354AFgXNULxzf2oQUaJcp9AwgVpnBF,Hr9189qBGYV1BXi28EBysPW2ZPTuq3jQv3cZBkmy24aU,2329704.87,0.23
25z25RBwcuYxeM2mjzCZHLF6WJquGARe9GfG3NWPaK3v,EMjLhqcu9NpL6W82uhzLmTuBvBzfiGLLpUH5ryuJP6q5,2310969.97,0.23
6S18b5FuabgiAEwj4ss8gsg48JLy8SpPZ5FyM6LSHeDc,zJY3AsEtbMtp7pYY4DdmzxUy7aPc5LLd2fmrUJYGVxJ,2298244.62,0.23
3SZFGiZKKRZoieS9dZzET6pU6BcKHQLYTA3z9xDEtsZw,13yYUKkbsYZkT5URdZN7EqAx8iwjhfdZWEQahMu6WTx8,2224108.41,0.22
8FiWgABSwz348B2uC7CCifiJ4kNvdaDkPPZZanXFX3by,3ny1s7YGHooHvs3Ja4VjWueVnr7Zfwdn5K2kZXghEAJY,2152188.72,0.22
F5SQiiXQqHZNZ3PoXBnHL7whi1ZjhMnwQ5X2NDHEKZNr,349QQ4Wh16avVg8Y98c7qtG8ZpDT3sE4Sb6k3xZ45wYe,2148046.93,0.21
9udAn7CrDbZybQpPtPv9dT5oRKeF9S9FZ7PjUrcxrnSd,BpRb1PLmgcSf8H4ydC1yPgZbUMS6Muu5o2CEzSGndGuE,2143868.21,0.21
c3ysA6cUYkQQFgivP1q1To2dqddt7CEzMggzb59g8QT,6RdW7t47tquZyrDMBM5x1mXYcAC9XcjRCQMPfMTsiuGL,2053324.98,0.21
DQmMnakiKr1YNE2gcpggLCzBrauBwFbQkAaao2FTbjgp,xMXXjekHdEo7997hi5jMZiEuZ6AeFLw31jmQnGT2vZQ,2035401.71,0.20
7wbnEFWu793RCGB1J8FUQa2wojWCUV5eCrcQUtLaU8oF,FbPc8YPYk8NHbdWCjQ9Kjs7pyqMUfeK9AzepM5DvEozg,2019738.28,0.20
CQs98nPUQoAiTPfQT6hdbWQAz7TVEVTqDFbgxpBW1xKY,FzSDgbtSgQsNfgFpqouKWQ7Pfu4RshPAmUYbphkRqCii,1992712.90,0.20
4T1EoCeKtgBM499yTZiux6R5tuq3zCDt23pw8enDpEBg,CQpQJu1w6KEgpMgetNGhX4XSUkWA52YL9m5bRx2SXvL9,1984405.40,0.20
H4mLYEy5jhMeqymvXBFaZ1qHNRAwR243tXZLfVcKFnHs,EMVB4MfRZVXJEhThCJcMWgFLasCWgQdAgUse1fhedsmw,1934102.32,0.19
5FYntTeFy6ErWS6Vae7FFD6WoybmpTspZzMqwTXmPKbq,FYPN9tYkmthsukMtjbAD5mSjeEdERqa8phdFSaukdems,1886826.00,0.19
HaEG7aFYqBx4ZLCqxVPUwHzGqSbSLNDgVPLKzFUoV883,GmiHuxw4Yf67gnCNpqdbe2wVsDnftrr8EQuLvHBmBAEh,1843505.10,0.18
2M9RM5ngfYWAur1BxLWNgJPMYynJkFCHigqWkoY5wa6M,HyPSUtSGoCDCdhUcMpYLXaTozf5fBJpmwNnhPJkJpDV4,1837302.70,0.18
6SKZiqjHRWhuDob4S1f61hJ94nniNt7UfdPXpLez1fH1,8nks7fPr4EWRrTfxwPBB9cfQnRB4BuKTP53QvN5m4gvF,1828090.23,0.18
8k9Tc7CYG6NrrfZbBFtjtRzaUw87Zpf8R12gxfKNXYGB,5DmUoEfmHPzDDwmzgyF4y3ra2c3V5F89VYknaJ4bdWZm,1802743.49,0.18
8zmNqF9LEYzTivu3UWrwD5RNn99mzW2FeraEUAJTyoWf,6uhA1pyEL7uGinHje6VjXbeakffbWWzGjQaJAv1Txw9T,1781006.60,0.18
5nHf8x8axcSJt85DjfoGneXidWQVL4cfY5SqUS2GMBGp,Fjt2Ms9enzZJF1itmkdMi7iGFZiJxK7zUK7YknUCJTra,1764909.26,0.18
CfSVmfKrgymHkwUTfCDvMhTZ4JaUyEi58LYCTLhgvYqi,4S4fCCsyP6DpVHNNrAgensAWN6kyDtBtgoBoypAhsE3u,1724023.63,0.17
A42pBhmFyJ8UNScqqzz5SszzSA2JB5HuoRT7PdG3AnWJ,7M6XiH48f1zBRfaaQb3hpoBVhnUBSN1unkygWQxeGCRN,1691746.70,0.17
F8hs894zqLN6cM1oFkqZYQVQZZNnoFret1WH7Ev9zWg1,FYtbayt8Qiy1FyL7sNKmbjoE9MaZkMoQ9hYiD1hkFJPW,1669232.70,0.17
FunA1FzuTuTXc9jze6uMG1G8imeLVB5yGL5vQUs9YGQE,BMJfp6QVUGgYMTT2d42NCno1vHBXiorEcsmXzcXViJWf,1637399.03,0.16
3sGpfLLxKSGiXmDzWSAD4qDCKwm768TmeRjbeC9RLq8L,8qJz7Xm8HkWsB97PfEEP2gTHxmVLqLzYunZTH8TMxn46,1633265.61,0.16
EACZRLzG2DJzsF8VnaX1NFzdbeunBVajDAr2a2pTYvm4,CZV1rSpBbN8V3WUMHc1Bruwofa1X7uhpfjxqpguU3C76,1579345.00,0.16
GaQYwW6sQ7obi6K61z9LgVPeHkXcwTbRyhspAmrKooHa,BwbSPzQ4FDD6fHn5aMxmX5xgzpm64jgh7uFZpJcNbAad,1545781.68,0.15
Fq72GNxxW58Vs1q97tzF1UuKMpYrGSGruASeCRNeZ331,5uMNMomyi2Bp7T3kK3HpnUVRN7tV3MYiUdpQSRzXvAUU,1541924.65,0.15
