Account,Token Account,Quantity,Percentage
6EyraYqCUw5nZcQettYFS8ujoJazvLAukZmsjNzWeDdS,CwxwswWXzj31qJRndwV1eyVqPEdiV2dhhBU4GCviSWLU,183460.21,0.29
J84pvUHUXAiw2EXtqhTvXKZFWKhEQa69dUJbfmLiH8ZG,92dkTBxY3C8f4z3vghgn9KMTZx7XiT6nzgg7kEVTxPD1,182859.57,0.29
4dnDAiQffDu2QqGSHGNUVxNPCeSeKVp5AP5PvEqpkQSK,5obCGAtu3eKKTcXLX73Jgk7Fhy2X8g8zKCSzCHVkddLn,177817.32,0.28
DtMDNsj1bmoDcNQ2ietp3Pv1VcouqfDFdCeS2Tb8pXye,78mspAPAHZcafv1ZB2Uyu1EDoLdnYYEXASZbZzHqZG8S,175214.15,0.27
FuhJyXKjBV4FXbHtvsmRmjpUJ9PjD47H3q6hRdsbHGo4,8k1omUkQXxBJPUkFouqikS1GWumqbukE1k2GshuCZzWZ,173747.84,0.27
5L5ehtP5w6x3Udg9PYsJDpEMZgLuFH66M97pkzTXGEr1,AnwRwuFoH5zasuy7qKyNCMpQe1gHp6kVYHzVn78dXzhz,162050.37,0.25
WrbbBBU9EfieFiTDHcbSpSLam2JV2ZNqxzZV5WsDNTP,36he46tyQUvc282eHnX98ErTDzf2KWj5dQpkh5woe8g5,159796.16,0.25
Hhm8u6nHhcNR5HkT7C1RV9J1KJ6RztWXoyNByM2miu5J,239uuj3DTHEufMo4hMBVj9brCN1MLS1GFoYfmHWoPETE,151469.57,0.24
79uun3VQoKgNTXPVqu2hT3aB5o4EAVeUwCmepQqRGMWC,7fL6o87yGTQwtkWyErorZX3mxysPzF4E2nmw14EYTjyh,150000.73,0.23
4o21TqcB9CNWK6h22XWoc2pWugNWgWP4fGxRrKkCuucE,CrQ3MNSK4jrRgnZAzjRrrdAXsjzeVejbWm3CpXGAuVrk,149599.89,0.23
HUecPN8t8VpSJkbtsiFsRmW7PW7Tj9dXcUELeYPzJ5iP,DEqbJYE8Nw1qpupFGpNdqho6EKbWUishQfQH5ByNWSVt,148238.38,0.23
7gnK99CQHMeQR2QgJNvvonhyPrvxDt9qwsYpJKtqRT1e,4pnL2bohM9SJYTNwqghseZGT45Fv2r3d6NjYMjyBq922,146164.60,0.23
EWmTDFJra4UaZw7awnmarKad7ULKu5B7CdQaoMrS3qU2,5FThdvXnKA31v2p9UkPcCUSZHFa2xKjCydrvdonBQati,145775.05,0.23
H8mQPNMd284d2gsTvbfytg8twJj3UFE2VEwT4ddpPdeR,CGBGc3mq5rtEVvyA91RPJk1J84MbVobTv8S3MeVKwPsF,144892.14,0.23
JAAB4TV8VsWdf42hTEYQSZ3TYPfg7LWp7X67FKBqbAzc,2gRf8PS8Xjgb5ExC4zJRJPrkhasdGboXW4b1J499hNAM,142084.89,0.22
8t6zfPAuTuch8FNdXhyh8Z9Tn8wS1P5QvmPVh8TRhzMr,8htHwGVY9ZfVsrHn59C9LXXDomMn8XQgF2yPKt86yoQx,141567.63,0.22
Cw1hnjEiHhja3mPNvYhPNzepMEJesub2B7woLXSRCuUQ,HSHmJSEJzm75bcrYJdf8Dob7XeJS8uxf81w4qKGumcyU,138733.81,0.22
1V3669V75nE3tPLBTYrncwaznd5kn8vP8EU7JoXPqce,seKuvdGSVdvXBDKU15UKHXs1zw6iPGsckU1Sc1Tf2q7,138489.12,0.22
5AFt2qXHQ4VpqmfVKv7MupXdgGmV7Ybg7JyyMaCUvqda,3Rd7y8rirfNKJZ3pbM1w4eD4d6sg39BRdVCnqjsmvcY2,135533.62,0.21
EaXVBH2g9GgpqSCUdfHshJjai5BakBaTKYrUBzRnTzEs,H92Ad7Nr273Dt9VBDadkp541ySkDcizf1cxXe1V2b5Ha,134731.03,0.21
FrCpFXBjeWzDQX6xfEUKvQUh67GpLm9r7YznfRoa7vbP,7dBAhEQEoZoTYUsctooFNTopiJMZVhAsuSSt2f9EoBa5,134189.92,0.21
Dq7d954ZWuqFY3yPTTGqhdVTyFdPaVXVLDmgh3oM7Nq7,26hJ3suDBpSRXHsMVEzh7X4mAZWr1wR6c6c4QPeT9Cp7,133620.13,0.21
3xqUaVuAWsppb8yaSPJ2hvdvfjteMq2EbdCc3CLguaTE,H834ao7BBon14sH92aP7KEx6MUCajXvcqC8WWvmdjcWq,133430.13,0.21
7toK3UqmCGhzc73NvzueqG4dcR3CGk8Gyqd1u2tuf8XE,HfJfbAG3YkrpjmyvG7ArqgH86EbqGheHpo7VYjJpzs4r,128127.32,0.20
3VcyXMfdMyL89g9t9xfXtJzqyqvEGicLFhTWcTFGHcaV,5AyKVWNU6qhrzUqAEd7A7GFAbHyxMvxyrXg7gyDasnzp,127711.57,0.20
2rRMNGpc1K2iCVsdsY7NsdoUZptk2WbSpPCVAR1exE3P,ErEnwMQXSs5AJ1Yc5unXVj5R7Lqp5ghjhwfVvK4tEKo,123093.63,0.19
24bzS175iCUN7oiwg3aG7Uyd4bFAU27KxTdB8waiRWbp,HPntgefumwtgMxyWcu5nUNB3Xa6UGtDs4TANdXWnDuRm,121181.15,0.19
H2tbQuMVZjvWE58QDUA1TveWFD8ybXkNUgDAzrfQ9PUY,27KjC4DxZEmYG9FVe1YdNqzPCTGZGhUuGTVaAZxNinxP,119961.39,0.19
AVjx4TbWkYCWd2gD1rNjiuMCqpPkbyXQir9QmaFNGpad,3AT8eHpnKAVf5VSWnHHfjAWzaF1jiMWSPKhiMkLqVFBq,119214.94,0.19
7azv99nzG6KYzkAP3uTN7trfUFtEqzXw1Pxy8MsR8R6P,5G1aNFuGMDv5CPUq5dGFswDaysun8xLeLvnMWeYygNLu,119036.17,0.19
BoUeMpVUDiuwgQqgbbXsvnbZwqY2rggQE4ikF4fsmXMd,GtyKKPfTPfEQ7fYyHMZdG9e1SqMW2nfUu6yKWCiXEqAs,118286.53,0.18
4XoG5JY7BdQb7Svpxzb2zCR3KbPsbnCg1BhM66XL6Mq5,AbVexHf9c9xopvbVq1kB4HTB2PtCTwWGk5We9sFV1btE,118007.28,0.18
3DLRnjwiWav2xqo3yXxRXsF4yQ5969wofjEMrBu69Mmh,GpKefgGw2tjDWcTJnxRvY4bcXmFT8sLwzL351LFroRkc,117253.84,0.18
uB2g4SvMZ6x1PbTWFTAYSish2Vf2ZLpwwTeZuxPgXM3,8iAtrSYfD43KVV4vmwLCGb2hB7ut8uEh5NXE6qBmpRP9,116743.77,0.18
Ei8TCaK7t534kjGFcgodNafC7u7LHWUQusKGPTcv8ySu,5oabWDYsS5VwBhop4mjxmHdtisfJBt1282DMX5hWwjme,116736.03,0.18
99qdWpLPr4ZjZaaLjH7pPSB8Aymzcykb5BPLKp4o7oo4,3XWV1ZrCei2LTsdhKcShHwTsxsgStyTnWbvdgnPLLPzX,115128.96,0.18
CjVSG8ZiBSUNC2175UJxEicBxUQuNGpG1s5BUeGUfTuj,48hUMxJT14TkWWWYWDQwzEL5N2firKYBjwWdhuRZngB8,113301.49,0.18
29m8Ud6cE8ejWajKZfSuFLqVupApt6W8cXwt6z76RBY8,BCBFHqHbiFTTqeffLY4RNy7kUaXdDmowSyPueWD55UtY,112493.97,0.18
HzdXGXi1xH8YdxaMTQKk5dZSm5BqWsGgpNJsANhpeKmU,8oRovNEP7U1yuznqizcaUebpGBx5HJjSBEygjJeHXydX,112464.85,0.18
GYBPJQu9tgFX78RXu9d7fqHV2VbkPoPMq9NhVjEunRGZ,8tJhPjYTMki96DrQdThBCuZrLGUNkKcapVBPWLSERmFd,110488.86,0.17
57ttMSA7xNUYWrFXsi5QqiXxpS8be6EWrXLXTqqr1HuK,5o1RE1brxvwuzeDrFsybM4yqMaWAgBNLsFGDcoCy4u4i,110243.90,0.17
HLiXrGg8qYdnXWhR13i8mFjJSfG4P8ya62cNEUtyCTmG,GAexLScbVJYEkEdQHLzLiBSfe7ZmvYCKxBvG8jLjWbZF,108010.14,0.17
B7oNRUYDSShKCJD4HWC7rpauG7fyy3KDMRv7CGDsKA4d,9CFtV3ZUkSjY78jGbiR8TeRFmLvVyUzVeYR3UQVRvNJP,107887.53,0.17
GyZ5HpSBBcMDzkdq3iMPzp1tqu9pVw9oQkKSSq4D6CEm,D1sXRzPVCmshnoDqekNLyUcK63JD7sQ1ziBGxX84YEqm,107227.26,0.17
FeuvhwAGUvQLib6Js3qe3X5vECKsVpitthxB3z2LC7Uf,ZnZBeWCWum89UHYZyvdpxLAEXcvnDfL9eWZVF866VhN,107005.81,0.17
AFsPJTw6xm4hGbm7Pd2kdXGF4vJJxWMgF4e24TJJPFt8,ACYkfabqCsxVxVNMjTpz6dpunyde2qxPKtQV27YnUUQw,106880.67,0.17
Fv8yikmi7qaasrM76oQKb6e4eeAg397tX1wsX1wRgXAF,7QVVh6GjZ5xv3jXcDT3ZZoseBxnu7ZpBNuaNz6t8zf18,105995.92,0.17
DFD6XNdyEdSxuacpQvHoDRZqyeApCcR8pknEs1sQ5hwU,H2kahqCiCpxZRCLPJhowvnKUqYAVydiu7qkNe6ELh16R,103976.84,0.16
5VHCmPqzwiz8wWTLFrikigP8u5b2XwnfseHxzrFaVJXS,AMewKMDX1hVAPAmkW427np56rmuqEkAsCCesgR8NwcDA,103855.39,0.16
aQdDcJ3DnZe9DNT5rk7gJqiz4NF3LrPtLMYqQgJAPaj,Dzz2et8zsCNfHaJvLQiRBLnXpLc5me82Wii7JsHSQL88,103628.37,0.16
CNwGXVwgpMAnupMSHhVSp1wJrAgzVHEcEmuobPVrkhSx,5ojy7hXoGWj2guEZo8djpdjD62wjW5xUXZnvJLN1Z7Ki,103512.83,0.16
7nyWgrpvExiBLuxUzcUR6neRSdNEGNfwhwYZk8JcmGrr,5v7RZSAqd8DdHCQZNbmdHviRSCMUAvutf6agTpfosFzY,103057.02,0.16
7UZA4ALkLbGB5XDei7ZCssk4Tru32cRW4GBAgvvejdGu,6YZd27UFj2Qvan3zfL9kDr4Thuys7r7cRRYMJVFowC6P,102776.32,0.16
C1QdbqKnAhagkYdrezFMyaVtXVt3b5S1Sjh6b5CQfoig,35kNZ6PfKkWduMXH465wUrRPieUZomLviPn8MkDdZoM2,101950.68,0.16
ABWBddhpG65bzufjjvD4jQCxZdzrnx8MXPqb3WBtWV4M,FbMqz24dnuU7uvtysQBAvWMnfgKprdfv19rEsbCc6sTg,101646.00,0.16
BqNDLDcxd4X5hUJ1uCG621qVdqx79ccMWRC4NYgyx7MA,ArbLdJqq8rVAtbavwosxRrbtaNssshAy4joi3XQ31gmY,101500.16,0.16
F5NvuP1htcKph9vjktbPVDkc85dwvzNFHvUs3nS6gxHd,6GruN9cSvU3fN2KQy1HTc9RN7rNyvJCf6cWgJRxpQxDR,101067.64,0.16
G4CTAAJwi5jJBeN7JQfWejzYkN5T9QnR8faGZeysGsT5,81CSiiz6tdUk36WhjfiFwMA96kNzo5CTLLEckZwCnBAg,99979.14,0.16
AanfZCb9JzexPPmD5fxZQYCVCNAoLa8Y5ghghUVSe5eN,8xLLgY3F8UunXKjLstXAyf8a7EGT7QTij9uHQ5uSJy2E,99447.63,0.16
FjdhQQoCd4tMaT8gqYzXRmDsS8jTbd2MStToM2dsaUqq,9USnyQhtAuatWGahcXHF5wB57KnhEDKqxqE2TMBtP73D,97146.00,0.15
