Account,Token Account,Quantity,Percentage
3ByAKnZZgDdHh3Ffsy6as8VYHPtZ1RLvxF3DXfSkkoMQ,DY63X4KzU8VsKi7JcGwwJq8oSEb5iP6TZXsUgyti9iDm,1990559.47,0.20
Aev27Dxi6YepaJm7Z5MbK828oP5b5ekXCJX65ZscDiUs,7KJF6G4oSxHQrocu7YhRjfuuxo4TW4Qtt8ZjUkkKeGEV,1975885.52,0.20
CY6H1zV1uq9TvLrmvuTUihNRXEco4foDa52kUJaVE4GQ,Zsj5uPRQAgbbDyxLPUqSMxTLR7rxyyt8JsnydyAsoGd,1968892.14,0.20
9wjg9t7eYVSuyvRDzZFrdUuoLj4BSX2FASjef3Q48oDM,3uSQaV2aDacQLZxmDUiHxXrTpN1cSQMqN2eko1ctj3ZT,1929683.79,0.19
GW2zZwZVcedpuuxPa7v46k14WqJqonJNYAQEtmpFVfBd,2c3ZnfDE473J37ipVFGEYEMY3rnzgVkshEUHqHjSdoXZ,1896085.80,0.19
8pki8M8BBTYZBfmGbdkxZBv5TDDGZdLPxUxBt44i8HB4,8fhnszfYaNPQhLr4GgPYE7xVVQkEmFYXkvGxhkygtTC5,1871417.54,0.19
6S84TbBDNKFZBZd4pLAkVKVVjqeYFNmqgvKtt5eS8spL,DqWgB7sxAvqeuEgWugFrFGQzupxokVVZDzsBR3PrawJ,1817282.83,0.18
2zUdNrW2UB1xwseHPgry1WzyaAZMWVaeTzxBgRGM5MXh,Br8ucfqqvAckUsiVJanwQEnRpWNMRkvspqkDBpQ3ncuu,1799680.82,0.18
GzfMxWykE5kX5q8b6jqZGwz7JyfTpuEGPH4mBxc4Y4vR,EGjQqKESLxcwocWjrap1VS9tqXxwrPhE4XXWYJkJeXEk,1780257.13,0.18
HsAvAv5jwuBAotn9GbfFni8mrRFSrK1iz6J8ZNAYgHLX,6yP4qA9rShnzG8jprHdxrTSGGTyfXeTwibz4E7H83eBE,1750000.00,0.18
Ftc9RTESaTNuWnidmeqzk4VjQ9or2qMiqxhyHFvNFUcN,HjMSyqZBNBk1RFwAXNUHeEdu4dHG8QJX3RzN949yNLhW,1682162.52,0.17
8MdkQu74x58Mu8omPu3P1FgLNUMyBGJBQUE14N3Dwcba,46CdRToyby9AXCdzv5mSs9FvgsHpNz4FgJ2PAxaycuhw,1661530.35,0.17
5xJwc3STCcBxZAU8zs8LxvAQxkburXdz8NWiwjPtEvsE,63krvqoS3ZmfPJiKUWchTUUHiaZcq2ztzuo9eKgrakBr,1650815.54,0.17
9bHuy3GK4gp61sTFiJ54ayiFCVPjCAub72wFvpuaprZ2,3FPMAx9RjomPTC2k28tqmk7L3nF5n3FYTaRiD6pvKSHh,1650000.00,0.17
A1nz5h24JVwutk4KrRkmy4CR7g2v3nifUdukJj8XMw4C,Ej96b3L7nUg8jieYC8QYNrxmA4312qFPK4bcSdLsw3NZ,1560788.67,0.16
FL8fCZ29sBdesyDXPY1ekMCR7q1JRKQNYKPZRX3zdpvv,HcEQwoCswp5cNvtmX2tPJsh363XoKb3c6SqRL5mV5oYq,1555887.03,0.16
ETSMNQhXdZGWnBQj2TtpVoDRp2vbvqt2me9mNKScbHTn,CzBUoUiZXmw2zcVMWnRwPU1c5g8TuuErXxg9MjiEcJBP,1555082.94,0.16
BnQgvtof7sJWTjStTPrjT4yizBkHmWDBt8nKZE4rCZTD,4dCsKfDXxCmy6KqijGyFCPcuLQ8vbxQgdcz7KEbLf4EF,1491685.92,0.15
64uMLTQaXLKWactHvpQte8y5b31S74YofRkppACaNFVA,DYG8GTXBPR3dw14w4sgprQ7TmdfntfoTEHCg1wqWXkxL,1484289.69,0.15
FhwHs8BQonhchphyNXasMMeXSALhBNa2PvxhPTuL9BcM,HhrbzxU1cxGQAwMiYwRAHBLDS4midDUXayKa1ZZdG8Qc,1448119.88,0.14
2ZcSUg3FceAuVFyS2uudvPEffRdTcvZX3pe4AT2165ek,5oRZQ66sca4YUVpedviJQJoKu5ug4wZvT2UkBigQJjuG,1417056.13,0.14
D6bJ1g5uYs9c4pz98AuCqtYyFC9zJusgeSzjWFK4HK2x,BTDuZPQjxXJVKTPVTa76u2Ro1W5pcV78p5AVCiuQ9SDC,1407543.27,0.14
GuVmpNPYTaKS3mdjHKu5mHi4awx2hPaDf74Yw21dH23w,5jtWgAQK69xpunWVpjgM7N271TSrbdtVnGLnRg1zHbt5,1400676.92,0.14
D3yXVmSFJysbotp6R9xLE5SiMkhqCMA5kopBfXEELm9b,9Ar8VMW4Vjn4WuFBD1Xk2B5VMU4UfnH4a2mfxFVgJXk3,1352934.11,0.14
4pjqD8zVozqTiqYPn8Jb5EpbFr9zgHjMhAJviQkadEGt,22sgqavARcN9mGnf2wT1vy1jpTQFudWcSNEcURXjAaWa,1239095.46,0.12
4op5q8dT6EypxsWv82sJY3XLLazYWDrkUjoL8QQizhmG,G9byFaZgRL5Ck1scFvRYNfiAqULmmQLZyj3qZ4xTDzJ1,1187973.84,0.12
EjjQ2aK1MioXr5JTBY5PuyAiWy1w21CncBKsWbFSotwD,EdKB4f1u2DuQfK6Z2Lgo2ZNcgZZQbkJHa9cyZEpWY675,1121228.92,0.11
7XmpB88VmLjs7T3JLj1nCmBqjHATA4puhjssB3cgtSg1,9PydSLk2i3zCkHLYH5F8wwTsfyz5wakb4WJ6QrU9FgoY,1118604.92,0.11
E7YUrWytScdRcaRrETT7QgksfGqvDkptvFuzmtfdqpSD,Cay5b2qRc9jtKLzstEWaqDM195JMvLYoDwar8e483bWM,1100820.85,0.11
6ypj7mDeVmS82bwUzZWFmDUkNJjJNqe2MmqM3262Q7KD,BAMuMXwKCUs96LjgvvaxcUfPrsn9JTwNmgfUS5Zxfsqs,1100000.00,0.11
GewyNsVuNxoAjpKJeKJHggpEozP7Rc7crnFMnLfJBq7X,7ahiiT1FenS2RXphKwXAd9opRFdMRpuJvWau8pdR5NGa,1040433.38,0.10
91Hx872SRQpoiXCABaUBYpjEhp75nYzEFqJSuG3Kdj8,6iceUjuhQMekn236wMfnJk7NNgaosnb4Lpdt1w9Myema,1036280.72,0.10
8zKtHr4fv3UJdnVodwJFN9RGVScmMHChhPSU3uj9Wq9,4nzmyWPYRbE42dpaDuLZsijzm4riaJZTffNizu2UFjLk,1034814.53,0.10
