Account,Token Account,Quantity,Percentage
Dq8tE7LMBN597uwYQKKu7WbLCEk4yc53Z3WjBfuQXChs,5exqPP6shPMAP8g7tQWyFZwpQMcsQgGo9X48oTfYMKXb,1390597.18,0.13
CwsW3PUG6TJRu6wPN8C8LuWVQpFx3JMfAigUVi6ggYNj,CRbFMuySJrkEgLnhJsd7DfyPaxR2s5qoUkx1puJqDifS,1389900.00,0.13
DT9qWgugoeJLPt1YgArksDPksx18qKyT9Rein1JVBo43,GpDbRPYDdCRsfhQCbLYuhtK2DnXorKnf4gdRTbXu5jBY,1300000.00,0.12
G1d69HFvNiJc4gAJAtjv4DkePPAYv6Z3vttY5XCTq3vN,FezGDiouW7hxMY1NAWvXqS1axY8LjJ1kRUwxiRGC14tx,1292972.38,0.12
99HXufoq4yepb8hNKgd1ghXRKMwAfMoXCZjAdXxXyEUh,8LCfrsLGbQ2dcbrGcwcxHmp5EG6QjrRPMtvxf2VVCfon,1289139.95,0.12
Hqmm1V7DHMSansyw1gxdK7YixouZZWCktkKCm1cda5LS,FWShGkftwMaxLG6WqTYjBfnfDsgznFDRuUh5wVgC6nEZ,1277725.19,0.12
5g7YgARXoVd77Qsm5s5dQiJtj55k2R1kuaNXbvK4RaPz,rA2k9K3Vvgnd9urFKiU7gWmYZMtsEeqXpttGycJDtDk,1272316.12,0.12
61Nn6xsXcJUnfw1AZL734KKmoB4HTMy4ZvebXdh8Gvc3,DXpVB8s6EkYYNX956SSzztpc4ojWEutbuu1VQMJXAu6g,1272214.16,0.12
G4ERFPDqR2ZpR7qVsRrEFmu2r1NhVA4tBgQbfek8y4uj,12gXbTkU7FSrqM1wysTyHxqk6vGN6XQxnzRDgwJu14Mz,1269373.74,0.12
6qMWLRtHwbFWRm19H6PYewiJDQB8yymJ4xwZBVdLemMC,AhXUahVAscUdm8YUGEKN1WHE7bxPZws3Gi6mdWiXiEN,1269349.36,0.12
cFHBcnsgTPTfMpr8jQEXUzQrxdmMW1uQ4rCX8BHMCjQ,DCnwVhb7hZ3Fhoz6kkUJg6eY99g2r7uE5god8RXVJhSL,1250000.92,0.11
3RieTyY7uM1KducnoBgjPvc1kpna94DSrCCaxz5a1ns6,3La3NrHaGnRqeZ1cooaMB2DEFuxYuehbQ6iCJkjXzBq6,1230345.56,0.11
9nD6XqbEz45jrTR7F67r2Mzg7dkZG9PzAszDsEKc3Ma9,FQvcV3n8QfCUrzmdBDN8zKdhGtRopb8j4ASNo6ZjuaN4,1207208.25,0.11
F4xgpVR1z4tdD8dpgNMN3s7VDx67FUQnVLFcwPNnXiTA,CcTj3WJFP6oTQNtTwDT5SkqvbVthbHaMWRkNtu6Nsuca,1206807.87,0.11
CoErvNbskUtXuUq7vKzusS4FECgjfn6pDaQ7RkiT8DiS,GjP432wwX8gJF19XnLwcxHhPgQqtco5m7gff1H51xB2a,1205455.50,0.11
CQdFiL1Fs9GjUKbZevconMBttb34ZudiRVyNF2iejUDS,7pgbq6WJTQASTNa81kG5UKC1yJ7a9vpv8LzPh9Mad3hZ,1172039.41,0.11
7gBvmDCo9wLNRB4EUDsvjGe7rx3ZMjbrECc9ppPUvh7k,9dNDDNfQGftkFVUex1ttBQmXQRnTcHUMsH5J2uXF37fQ,1156763.21,0.11
7zPXwiykPwzdfeZptiriURvz24NBnR4tM2fRdpKsYXWX,NTV2RWPK8XZZMriDyu5mrW4dLnuV6LMKZqm3c7iC9K8,1152487.69,0.10
HtmoXj1Kv1RvXU8r7RVxN2L2AuEsXbtfTLxTuZy4u9cL,DrnCN46ohjiNcpAM2asWQ5dFN8JiePA8A4atNiDp6eXf,1147644.39,0.10
GL8T72PKygWaYrLKtSteN9UUvYYnuC8azNDunk4eaqqQ,Cu4Y3U9inNEZjXxx94y63wPi348y7viQTDBWfhRZf3Mp,1139585.03,0.10
EykDjKvE3nTk2nByKMbGFuxt663pDN2YusR4jyVz6kTD,2MiW4tMREMTTiYX6ousa7CdtRpk6piA9U3ni3zwttJim,1137500.00,0.10
EiiAnQsfcruxHFkDabAmH4gzqLUZoEVwRuqEFQGP11xw,4EN8UxrpuBU1ZBmgSMrHGsTLbp2ymjSE5WFKBeGj7XyC,1110334.33,0.10
G1Ss3w4ZnkkZWLACtGg8eXb1UQvvawPcqgVotWrewKFT,Hykc64iQcVFDESeyKwDWmqWZcrPoAWCgRRp6hqZXbdfP,1101082.86,0.10
77DXFZnMebramt4dXfdwem1AjnfNnVnG8FkcVWpSwdjB,AVie3TgYrM82U6NaSW8Ss6vBdYKE4spiNWFRgNb5Aqo6,1083511.00,0.10
DDCTxNkXH4fSncCGURmihNiSHkYMwPE89rCyvP6S3Ciu,ECZTFCseNMfJBEZdKaX8yWoff5CGwRciSSbHcvFk1F4Z,1065000.87,0.10
D2sBRutX76resHFPH7GTBw8w46rNAgGkzzUprsaHDMdK,7xMYrWzJRW23wfpUCe7oGr7oSfBzR19xcHPSytPMpECm,1057740.92,0.10
GyL9JZ4PFFGd1LiX7tCWvjTAothh4XMPenbyu2ouZqbv,FMncuPj8wxb6JCE9dEnivTfZVkESnb82ngCukvktNFd1,1050801.77,0.10
7bU6zuxqQGpkpRNjGvt9gpzKPYeBAHfFWa8eENPCVJd1,YBKMZC2qgJX8rWjw8pc5kQePtKAusf2uGtbPjbRKTf6,1050000.00,0.10
5Sw3PQZyzPBYvqfor1orKFPdctpVPSBkm6Q6ECHjByno,JBGJBfXY8T5AsQiSASXaAmU6cfrRSaMbxaERTPjp3Q1z,1045172.55,0.10
FPtuEojCLce3fxxs8dC3Npqxc9NcQCfmHf75WupCxA44,45JmPPbe5CRZpadL17aAZDUH8yB4eTvAEECQe27y6JXX,1043608.32,0.09
6GBMvVmRpi5ULHAksXmh2r42cYtumyVeNK42xsTNUZsU,6G8r9JrHK9xDHLmpi85EsKTRKpbDuYYVnd7unQhv7DvL,1031728.29,0.09
8EJJEXn5gM5EU7KBRYNYoE9UAnnwnfqBdfQJ9gbcA44k,DUkyTSWG1qzXNVHCk29MTPQMsh3vcaxfyT9QADg2gc1B,1026572.75,0.09
5C2yZxzVVnniiBeAj9stzjPotnFDRCwnZymkwzRHNQwd,P5skvhq2U2ZSSbJM74uovZSG4T7Qcpk4pFXKe9cDvuk,1011574.76,0.09
CLXnv9XVH4Ct6uXzp53Pswje5VgpWnghDK2GJ2y5yxmi,5fuGuCMwSyCP22eqJmapuSdLTkN18EXH84dxJ6tkTY5,1010722.86,0.09
YP7X7r8i7yGM1E6kSJdYBY7UYEPm6kXCMc9WuEm74pC,4XytD9N6N3uCEWURyhjfG66dDSDgYKU8iaFkmmd2N2MD,1010000.00,0.09
3TzWaJCnq4v4kGFnKJu1zdpX4YBcHTqwGBNpg8AwymP5,F6pwpqk1gW5THXC7CKqnQqL1abvkK6dbbk5zB4gQSRR3,1010000.00,0.09
GCqhSHQgyCFX9yZDmUvYXz52ABgCWzxDJYwKkGf5AiSd,9UxzQq4FbryBbuyXYNg881XtZCXnyrKtP7T9r5YCJzPF,1002868.08,0.09
EMftiXeDaEZdXx58zBwwLq43QQo9fejJ8hWwr4324iWK,9rf4rKxnnkpAE9NNpZdJUXt24HbNzJdPtjZooNgTZfdR,1001776.33,0.09
D68rsejksRuAwBKks2ZqNXt2r7V3HTurFDSgGL6cQXkb,FsRqQWCFBCTGuqQSa5c34ZSqQzb8jBrH2aykWBioYgdM,1001388.91,0.09
wVE73GW6AKzpD66xSnsBoNGqa9KE1MHaSJgnvoSmcEd,3UPjMBjZTyh3VaXqecVqsMofQVni2JPd67jShB4zK8zv,1000221.07,0.09
7Em2UHpXAfu19JjGjQ3YamSadrjmN4EG4gA6oeGbZJZz,5g3MzHyvEo1mfgkWRFNVEV6PknxNpkwjeBUnrohetLdB,1000000.00,0.09
m626uwhGKs7h8d31Wu3msFfRUVWMpnTaNrBfWtz2X52,AZEWDv5t32LtqZoT41PpqyNuyfyEeRLMpnG5yVnPh42c,1000000.00,0.09
EKuXVPeWXkfQrvzyRwwLP169yMzStJKr7DBV7RQKP5Nh,HEGrfUA3RAo8k6LnCQ6heL4MiJWGBkDsWdtjo7rtxq4f,1000000.00,0.09
4E2zbwMuheneS3FniPhPwhJyauwvnuHx6SZR9ag8LmW3,GfjMveoNTSbkZAHjo9b4Bq3xeTARq38jsAR1Auz43qYQ,996362.12,0.09
H3mi6Q6aeFxQAgQbEcSVMduHrTwiC9CBojtcRDeQjdrd,Ay631cuyjCrrCbHta2qiNpBvbo2R55L4x5XuuxEcXoRd,989500.30,0.09
Fj6cFYanakSvACJ133JKngB77Po8Jasqur9eAdg6QE2n,EFHjJ7Uhde4ffUvKf1Nxqy336BHRinuNy4P42azDSCio,969969.00,0.09
Abix7G3trSNt65hHkazcwswk7uWrfNQ5YDqeMhK214Ah,6gg4ayNfxpsfj54Zn7awu6pNheKG9QRYZEp7rfgLAcQg,953423.40,0.09
4K8nRAcPBdpJ6CcgFjyeNUHEinGubuk5VdQSmtUX7oyp,GwT5eVKvGp3CzXJPhgCFrrLoYAUuVt751T843FDNkgpr,950548.45,0.09
8BoVricsYspFAV5kzbMeFfuwvcF9u9ixey5bzjwffuM3,GE6vXN1j4h7HQ3VCEv9YP3WVDqfUJP3hUhVBTfqGps25,934111.82,0.08
8axjAfkBuDdr8DBWtjxMSFa42g5sWDXUBoGPrEmYV8QV,3qZn162xHWH1PDtucaUDRrtXT71hETc4q7L5MvXvRG1r,933629.84,0.08
76CtQK81zJXw5gf8aiyiDH4xwtBUdDurnLoqujVBhZHq,AfQep3hpXvg8PgmCAX9fkctqiBvwUq1TeN5is2VehPwr,924463.21,0.08
