Account,Token Account,Quantity,Percentage
BHv1bz9C9Jdtt8NYMmmomHvKrdzCTdU8azhYgvFXHhNA,8fvXEUB3kQYQrdcNDeP8Xkcw9XUExKWK1uzoCzCCwbt1,170338.88,0.02
14AtkNxkcTxw1kn16zo6VVuCRrUw6nWi4UYGH48azd12,6oqvC1HvSC6x7CZbqLxPww9tQEkL5TzoTNHqgdsbzFrb,170338.88,0.02
6Dt4nFU3HYNgC1seQVznxtnZq9kVABd5nDPruf6rg181,BG4UQoc2e1f7AZ6pAQAeb5htPXpZZiQaqFciz3vG2qJE,170338.88,0.02
5JMaxbHacWirNJLv8J4cQh67txKaQNmRvr3w1T1BDsGz,BA1bbayaVJ5uMaA4xtjg11YVLGoDuPZeMuSqizZsya1G,170145.99,0.02
MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,g9zwPxviLqF5vj2P2QHBtpp46URH3o39K8wzQ1M5pJi,167781.79,0.02
3haE3GmkJiUuWjQY4R8X8b6KhY2sfR1ESj9Gj85tBHtj,7YpmSkhtSSZbbbZpApMxoeAhDHiH5vTdZffbUH1wW5t1,165490.05,0.02
Ckp3E5DLsnbaQ4MSRUgVqxxuxpAZZpmy7JFXT9qUxn6i,68KtVxjdnMuw6rPGzrCfBtYgqmZwRGgfVn4LYe5mrTj9,163814.18,0.02
JCVXzhigWhP1EaxEUcBidZQubDTWCmdh5gfnwdbnbfDA,BScFqsqrBCfPzKZdsukWfDnfkB2iHHwLLiLjxkmq78HK,161463.74,0.02
3KqPEZVbKgzJRv8kqf4vNYvBxkRfPNvMpMotCiHt5FJB,GfKswoUfSuvapxhSZEQXPZeESdGSZESWg6EUULk9gUeF,160582.21,0.02
EG4KJFt2BauYwt1utJnfqErYFbanHdyYBxEMGLhue9Z3,9k5bpaxpQ75cixxkSQvqYLei95QNKiqGtAhDY1ZvFCgN,158024.36,0.02
CwakhfNJM4uJQLXLd5ZHfSzCH3CHKGCCjwfUazK4Nkj,9ANGpxiSfHEcEY6mTx86tcfpUyBGxqcd9PTwfYXoTo8b,157995.81,0.02
AeHHtXdzLQDSNpMBVdq4JCj9ooiKH4apWFwt7gcc1ZPb,ExK1cE7ovXkkVk2HMTFdrjD78WAhHsppbweddrbgQjSh,157322.35,0.02
3QvQHckCSyLV54nW3btzN7xwnhcJfATvRmyawyD14D8W,6xVYgex1AJMQk8RHBKxx3powBEt6oWphhHeuthTqia5y,152500.00,0.02
